episode,win_rate,draw_rate,loss_rate,avg_reward,epsilon,loss
2500,60.12,11.08,28.8,0.3132,0.8293,0.088974
5000,58.0,11.6,30.4,0.276,0.6877,0.088493
7500,57.16,13.92,28.92,0.2824,0.5702,0.087764
10000,55.6,16.8,27.6,0.28,0.4729,0.08466
12500,53.04,22.88,24.08,0.2896,0.3921,0.083662
15000,51.0,24.72,24.28,0.2672,0.3252,0.079686
17500,45.0,34.0,21.0,0.24,0.2696,0.072794
20000,40.6,40.56,18.84,0.2176,0.2236,0.065296
22500,34.72,47.32,17.96,0.1676,0.1854,0.056647
25000,30.76,55.08,14.16,0.166,0.1538,0.047174
27500,25.32,59.76,14.92,0.104,0.1275,0.039439
30000,22.28,67.12,10.6,0.1168,0.1057,0.032452
32500,18.36,72.32,9.32,0.0904,0.0877,0.026567
35000,17.8,73.4,8.8,0.09,0.0727,0.022216
37500,14.92,79.6,5.48,0.0944,0.0603,0.018544
40000,12.44,81.2,6.36,0.0608,0.05,0.014899
42500,12.08,82.92,5.0,0.0708,0.05,0.013272
45000,11.84,84.44,3.72,0.0812,0.05,0.011634
47500,10.96,84.68,4.36,0.066,0.05,0.010403
50000,10.08,84.4,5.52,0.0456,0.05,0.0097
